dist,force
5.370697658757738964e+02,1.900000000000000000e+01
5.367816988735887662e+02,1.900000000000000000e+01
5.369358260966660055e+02,1.900000000000000000e+01
5.368484667169996101e+02,1.880000000000000071e+01
5.369800919866581808e+02,1.880000000000000071e+01
5.370223398932184864e+02,1.880000000000000071e+01
5.369881316237102737e+02,1.880000000000000071e+01
5.370038083963858071e+02,1.880000000000000071e+01
5.368425141264704052e+02,1.880000000000000071e+01
5.369204567265168180e+02,1.880000000000000071e+01
5.370771038592113200e+02,nan
5.365868458662431522e+02,nan
5.365663809320113842e+02,1.880000000000000071e+01
5.366890330537162299e+02,1.860000000000000142e+01
5.368318494438342441e+02,1.880000000000000071e+01
5.369798634568976468e+02,1.880000000000000071e+01
5.369976377739577629e+02,nan
5.371402751636496760e+02,1.839999999999999858e+01
5.372000872903827258e+02,1.839999999999999858e+01
5.371034494436720479e+02,1.810000000000000142e+01
5.372449688613889975e+02,1.810000000000000142e+01
5.372449688613889975e+02,1.800000000000000000e+01
5.372379896634092802e+02,1.800000000000000000e+01
5.371848987970911367e+02,1.800000000000000000e+01
5.371154589523920322e+02,1.800000000000000000e+01
5.372188682288533528e+02,1.800000000000000000e+01
5.375545665258949839e+02,1.800000000000000000e+01
5.377472922497933041e+02,1.800000000000000000e+01
5.376869070673667466e+02,1.800000000000000000e+01
5.376743694381648311e+02,1.800000000000000000e+01
5.376832683979903322e+02,1.800000000000000000e+01
5.376509630564816007e+02,1.800000000000000000e+01
5.380031865010289494e+02,1.800000000000000000e+01
5.380936386787954007e+02,1.800000000000000000e+01
5.382774341900197896e+02,1.800000000000000000e+01
5.383948976810294198e+02,1.800000000000000000e+01
5.385545039370645100e+02,1.800000000000000000e+01
5.386251245945967412e+02,1.800000000000000000e+01
5.386472578391642401e+02,1.800000000000000000e+01
5.388317021384337977e+02,1.800000000000000000e+01
5.384156220428816368e+02,1.800000000000000000e+01
5.386985503882555122e+02,1.800000000000000000e+01
5.386466520762503478e+02,1.800000000000000000e+01
5.386221867974775250e+02,1.800000000000000000e+01
5.385288531242077852e+02,1.800000000000000000e+01
5.385509534170737425e+02,1.800000000000000000e+01
5.383630327490088803e+02,1.800000000000000000e+01
5.384160488765495529e+02,1.800000000000000000e+01
5.386450429372696362e+02,1.800000000000000000e+01
5.386270856972251977e+02,1.800000000000000000e+01
5.386270225543148626e+02,1.800000000000000000e+01
5.385645794419306185e+02,1.800000000000000000e+01
5.387284513255267484e+02,1.800000000000000000e+01
5.388045114024970417e+02,1.800000000000000000e+01
5.386306304794449034e+02,1.800000000000000000e+01
5.385365880560805181e+02,1.800000000000000000e+01
5.386675930477125576e+02,1.800000000000000000e+01
5.386720652728849927e+02,1.800000000000000000e+01
5.390183324976391077e+02,1.800000000000000000e+01
5.398432440779554327e+02,1.800000000000000000e+01
5.416092937472544691e+02,1.880000000000000071e+01
5.431246438133217680e+02,nan
5.450415942339154753e+02,1.789999999999999858e+01
5.471667359517387013e+02,1.789999999999999858e+01
5.496381657041479230e+02,nan
5.513326163835255329e+02,1.789999999999999858e+01
5.553850748414159852e+02,1.590000000000000036e+01
5.599331719217091177e+02,1.419999999999999929e+01
5.642046049172705580e+02,1.300000000000000000e+01
5.658722450965261714e+02,1.300000000000000000e+01
5.673834366275382308e+02,1.380000000000000071e+01
5.686640885306456994e+02,1.180000000000000071e+01
5.701896763441434359e+02,nan
5.716055523642913840e+02,1.090000000000000036e+01
5.726647237391116505e+02,1.090000000000000036e+01
5.743981997139402438e+02,1.090000000000000036e+01
5.773812973662560353e+02,9.800000000000000711e+00
5.788539275544393377e+02,8.800000000000000711e+00
5.802698483044755449e+02,8.800000000000000711e+00
5.821351469914252448e+02,nan
5.835069637711433188e+02,8.800000000000000711e+00
5.851549875106779837e+02,8.800000000000000711e+00
5.868839226110119398e+02,nan
5.881571028429176522e+02,8.599999999999999645e+00
5.897086638982625573e+02,8.599999999999999645e+00
5.913859863379296939e+02,6.599999999999999645e+00
5.933074408089287317e+02,6.599999999999999645e+00
5.953294053878903469e+02,6.599999999999999645e+00
5.971660624468413516e+02,5.599999999999999645e+00
5.982078546547053293e+02,5.599999999999999645e+00
6.009069519563568065e+02,4.599999999999999645e+00
6.042186921695822548e+02,3.899999999999999911e+00
6.054723811661723403e+02,3.799999999999999822e+00
6.066919757191013787e+02,3.799999999999999822e+00
6.078731649805049528e+02,nan
6.095576175366753660e+02,3.799999999999999822e+00
6.127714180211658004e+02,0.000000000000000000e+00
6.138574420175626756e+02,0.000000000000000000e+00
6.151417223873163493e+02,0.000000000000000000e+00
6.163454523140744641e+02,0.000000000000000000e+00
6.176797771363518450e+02,0.000000000000000000e+00
6.185003073615496305e+02,0.000000000000000000e+00
6.200043507367222446e+02,0.000000000000000000e+00
6.208150995208843597e+02,0.000000000000000000e+00
6.218238689113679811e+02,0.000000000000000000e+00
6.226457780257245531e+02,0.000000000000000000e+00
6.235783155121515620e+02,0.000000000000000000e+00
6.242201642207417080e+02,0.000000000000000000e+00
6.246033980154509209e+02,0.000000000000000000e+00
6.252264601377652298e+02,0.000000000000000000e+00
6.259033229449958071e+02,0.000000000000000000e+00
6.262917119356980038e+02,0.000000000000000000e+00
6.279521282172927386e+02,0.000000000000000000e+00
6.286838892742990765e+02,0.000000000000000000e+00
6.290582940946979988e+02,0.000000000000000000e+00
